,year,country,age,species_,month,dead,gender,specie,edad
792,1999,usa,10,1.8 m [6'] shark,Aug,N,M,unspecified,10.0
793,1999,usa,62,4' to 5' shark,Aug,N,M,unspecified,62.0
794,1999,bahamas,35,2.7 m [9']  bull shark or Caribbean reef shark,Aug,N,M,bull,35.0
795,1999,south africa,42,"White shark, 3 m to 5 m [10' to 16.5'] ",Jul,N,M,white,42.0
796,1999,usa,43,"Bull shark, 2.1 m [7']",Jul,N,M,bull,43.0
797,1999,usa,43,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] ",Jul,N,M,tiger,43.0
798,1999,south africa,14,White shark,Jul,Y,M,white,14.0
799,1999,usa,30,"Blacktip shark, 1.8 m [6'] ",Jul,N,F,unspecified,30.0
800,1999,south africa,29,"White shark, 4 m [13'] ",Jul,N,M,white,29.0
801,1999,usa,21,3' to 4' shark,Jun,N,M,unspecified,21.0
802,1999,usa,5,Blacktip or spinner shark,Jun,N,M,unspecified,5.0
803,1999,australia,22,Thought to involve a white shark,May,Y,M,white,22.0
804,1999,brazil,21,"Tiger shark, 2.5 m [8.25']",May,N,M,tiger,21.0
805,1999,mauritius,41,"Grey reef shark, 1.5 m ",Apr,N,F,grey,41.0
806,1999,reunion,52,3 bull sharks,Apr,Y,M,bull,52.0
807,1999,usa,29,3.7 m to 4.6 m [12' to 15'] shark seen in the vicinity,Mar,N,F,unspecified,29.0
808,1999,australia,35,Bronze whaler or tiger shark,Feb,N,M,tiger,35.0
809,1999,usa,25,Spinner shark,Feb,N,M,unspecified,25.0
810,1999,south africa,30,"White shark, 4.6 m [15'] ",,N,M,white,30.0
811,1998,south africa,18,Possibly a white shark,Dec,N,M,white,18.0
812,1998,usa,9,Tiger shark,Nov,Y,M,tiger,9.0
813,1998,usa,14,1.2 m [4'] shark,Nov,N,M,unspecified,14.0
814,1998,usa,13,"A ""small shark""",Nov,N,M,unspecified,13.0
815,1998,brazil,22,Though to involve a white shark,Nov,Y,M,white,22.0
816,1998,usa,26,3' to 4' shark,Aug,N,M,unspecified,26.0
817,1998,usa,16,"White shark, 5 m to 6 m [16.5' to 20'] ",Aug,N,M,white,16.0
818,1998,bahamas,28,"Caribbean reef shark, 1.2 m to 1.5 m [4' to 5'] ",Aug,N,M,unspecified,28.0
819,1998,south africa,24,"White shark, 4.9 m [16']",Aug,N,M,white,24.0
820,1998,south africa,16,5' to 6' shark,Jul,N,M,unspecified,16.0
821,1998,australia,26,Thought to involve a 5.5 m white shark named Kong,Jun,Y,M,white,26.0
822,1998,south africa,20,White shark,Jun,Y,M,white,20.0
823,1998,south africa,15,3 m to 4 m [10' to 13'] white shark,May,N,M,white,15.0
824,1998,south africa,16,Unidentified,May,N,M,unspecified,16.0
825,1998,usa,40,"Lemon shark, 1.5 m [5'], identified  by the surfer",May,N,M,lemon,40.0
826,1998,usa,14,"1.8 m [6'] shark, possibly a blacktip",May,N,F,unspecified,14.0
827,1998,south africa,22,4 m [13'] white shark,May,N,M,white,22.0
828,1998,mozambique,35,3 m [10'] shark,Apr,Y,F,unspecified,35.0
829,1998,usa,50,5 m [16.5'] white shark,Apr,N,M,white,50.0
830,1998,south africa,33,3 m [10'] white shark,Mar,N,M,white,33.0
831,1998,usa,32,5' spinner shark,Mar,N,M,unspecified,32.0
832,1998,australia,31,Shark involvement not confirmed,Jan,,M,unspecified,31.0
833,1998,mozambique,23,Small dusky shark or blackfin shark,Jan,N,M,unspecified,23.0
