,year,type,country,age,species_,month,gender,dead
190,2013.0,Unprovoked,usa,30,4' to 6' shark,Dec,M,N
191,2013.0,Unprovoked,australia,26," Wobbegong shark, 1.6 to 1.8m ",Dec,M,N
192,2013.0,Unprovoked,australia,19,"Tiger shark, 3m ",Nov,M,Y
193,2013.0,Unprovoked,australia,35,Thought to involve a white shark,Nov,M,Y
194,2013.0,Unprovoked,usa,25,"White shark, 10 '",Nov,M,N
195,2013.0,Unprovoked,usa,46,Tiger shark,Oct,M,N
196,2013.0,Unprovoked,australia,60,"Blacktip reef shark, 1m",Oct,F,N
197,2013.0,Unprovoked,reunion,24,Thought to involve a bull shark,Oct,M,N
198,2013.0,Unprovoked,australia,41,Wobbegong shark,Oct,M,N
199,2013.0,Unprovoked,usa,45,"Whitetip reef shark, 4' to 6'",Oct,M,N
200,2013.0,Unprovoked,usa,25,Tiger shark,Oct,M,N
201,2013.0,Unprovoked,usa,6,Nurse shark?,Oct,M,N
202,2013.0,Unprovoked,south africa,74,White shark,Oct,M,Y
203,2013.0,Unprovoked,australia,55,White shark,Oct,M,N
204,2013.0,Unprovoked,usa,45,"White shark, 8' to 10'",Oct,M,N
205,2013.0,Unprovoked,usa,21,Bull shark,Sep,M,N
206,2013.0,Unprovoked,usa,13,3' shark,Sep,F,N
207,2013.0,Provoked,usa,43,3' shark,Sep,M,N
208,2013.0,Unprovoked,usa,25,3' shark,Sep,M,N
209,2013.0,Unprovoked,usa,9,4' shark,Sep,M,N
210,2013.0,Unprovoked,usa,20,Tiger shark?,Aug,F,Y
211,2013.0,Unprovoked,usa,10,"Bull shark, 8'",Aug,M,N
212,2013.0,Unprovoked,usa,17,"Bull shark, 6' to 8'",Aug,M,N
213,2013.0,Unprovoked,bahamas,40,6' shark,Jul,M,N
214,2013.0,Unprovoked,usa,18,"Tiger shark, 8' to 10' ",Jul,M,N
215,2013.0,Unprovoked,bahamas,64,Nurse shark,Jul,M,N
216,2013.0,Unprovoked,usa,14,4' to 5' shark,Jun,M,N
217,2013.0,Unprovoked,usa,28,"Tiger shark, 14'",Jun,M,N
218,2013.0,Unprovoked,usa,10,4' to 5' shark,Reported,F,N
219,2013.0,Unprovoked,ecuador,29,Galapagos shark,May,M,N
220,2013.0,Unprovoked,reunion,36,Bull shark,May,M,Y
221,2013.0,Unprovoked,usa,16,a small shark,May,M,N
222,2013.0,Unprovoked,mexico,34,Tiger shark,Apr,F,N
223,2013.0,Unprovoked,australia,51,"Grey nurse shark, 3m",Apr,M,N
224,2013.0,Unprovoked,usa,9,3' shark,Apr,M,N
225,2013.0,Unprovoked,usa,21,Bull shark,Apr,M,N
226,2013.0,Unprovoked,french polynesia,53,Possibly a blacktip reef shark,Apr,M,N
227,2013.0,Unprovoked,usa,58,4' shark,Apr,M,N
228,2013.0,Provoked,south africa,30,"Raggedtooth shark, 1.5 m",Mar,M,N
229,2013.0,Unprovoked,jamaica,68,"Tiger shark, 4.8 m",Mar,M,Y
230,2013.0,Unprovoked,australia,28,"Bronze whaler shark, 2.5m",Mar,M,N
231,2013.0,Unprovoked,new zealand,46,"White shark, 4m",Feb,M,Y
232,2013.0,Unprovoked,usa,16,"Blacktip shark, 4' to 5'",Feb,M,N
233,2013.0,Unprovoked,french polynesia,48,Lemon shark,Feb,M,N
234,2013.0,Unprovoked,usa,43,"Tiger shark, 15'",Jan,M,N
235,2012.0,Unprovoked,australia,23,2.5 m shark,Dec,M,N
236,2012.0,Unprovoked,australia,29,"Bull shark, 2m ",Dec,M,N
237,2012.0,Unprovoked,australia,32,"Tiger shark, 6'",Dec,M,N
238,2012.0,Unprovoked,usa,60,10' shark,Dec,M,N
239,2012.0,Unprovoked,australia,31,Sandtiger shark,Dec,M,N
240,2012.0,Unprovoked,usa,61,"Tiger shark, 10'",Nov,M,N
241,2012.0,Unprovoked,mexico,32,2.5 m shark,Nov,M,Y
242,2012.0,Unprovoked,usa,14,2' to 3' shark,Nov,M,N
243,2012.0,Unprovoked,usa,30,"Tiger shark, 15'",Nov,M,N
244,2012.0,Unprovoked,usa,43,"Tiger shark, 8'",Nov,M,N
245,2012.0,Unprovoked,usa,25,White shark,Oct,M,N
246,2012.0,Unprovoked,usa,51,"Tiger shark, 10' to 12' ",Oct,F,N
247,2012.0,Unprovoked,usa,39,"White shark, 15' to 16' ",Oct,M,Y
248,2012.0,Unprovoked,usa,55,6' to 8' shark,Oct,M,N
249,2012.0,Unprovoked,australia,11,2m shark,Oct,M,N
